starttime,stoptime,start station id,end station id
9/1/15 1:55,9/1/15 1:58,281,2006
9/1/15 1:55,9/1/15 2:00,536,487
9/1/15 1:56,9/1/15 2:03,444,504
9/1/15 1:56,9/1/15 2:06,474,325
9/1/15 1:56,9/1/15 2:20,474,293
9/1/15 1:56,9/1/15 2:04,432,348
9/1/15 1:57,9/1/15 2:05,3087,3113
9/1/15 1:57,9/1/15 2:05,434,512
9/1/15 1:58,9/1/15 2:22,401,3087
9/1/15 1:58,9/1/15 2:22,401,3087
9/1/15 1:59,9/1/15 2:11,490,440
9/1/15 2:00,9/1/15 2:05,301,307
9/1/15 2:00,9/1/15 2:04,2006,469
9/1/15 2:00,9/1/15 2:13,116,251
9/1/15 2:00,9/1/15 2:16,469,450
9/1/15 2:02,9/1/15 2:21,137,311
9/1/15 2:02,9/1/15 2:05,382,475
9/1/15 2:02,9/1/15 2:14,349,161
9/1/15 2:02,9/1/15 2:06,382,223
9/1/15 2:03,9/1/15 2:08,327,146
9/1/15 2:03,9/1/15 2:16,434,449
9/1/15 2:03,9/1/15 2:08,327,146
9/1/15 2:05,9/1/15 2:16,367,480
9/1/15 2:07,9/1/15 2:32,2006,263
9/1/15 2:08,9/1/15 2:25,290,3130
9/1/15 2:08,9/1/15 2:26,3088,3048
9/1/15 2:08,9/1/15 2:18,497,477
9/1/15 2:08,9/1/15 2:21,490,281
9/1/15 2:08,9/1/15 2:14,488,489
9/1/15 2:09,9/1/15 2:40,497,150
9/1/15 2:09,9/1/15 2:19,458,442
9/1/15 2:09,9/1/15 2:22,446,438
9/1/15 2:09,9/1/15 2:14,444,442
9/1/15 2:10,9/1/15 2:19,458,442
9/1/15 2:11,9/1/15 2:27,3090,3055
9/1/15 2:11,9/1/15 2:16,434,489
9/1/15 2:11,9/1/15 2:18,461,428
9/1/15 2:12,9/1/15 2:28,297,127
9/1/15 2:13,9/1/15 2:18,438,483
9/1/15 2:14,9/1/15 2:21,458,492
9/1/15 2:15,9/1/15 2:24,434,453
9/1/15 2:15,9/1/15 2:22,379,402
9/1/15 2:15,9/1/15 2:18,264,415
9/1/15 2:16,9/1/15 2:19,264,415
9/1/15 2:16,9/1/15 2:25,489,116
9/1/15 2:18,9/1/15 2:24,250,268
9/1/15 2:18,9/1/15 2:39,282,282
9/1/15 2:19,9/1/15 2:20,449,450
9/1/15 2:19,9/1/15 2:29,461,432
9/1/15 2:21,9/1/15 2:47,3088,410
9/1/15 2:21,9/1/15 2:36,358,2021
9/1/15 2:22,9/1/15 2:41,2021,128
9/1/15 2:22,9/1/15 2:41,368,489
9/1/15 2:25,9/1/15 2:31,386,360
9/1/15 2:25,9/1/15 2:49,263,3115
9/1/15 2:25,9/1/15 2:29,386,268
9/1/15 2:26,9/1/15 2:32,449,499
9/1/15 2:26,9/1/15 2:30,376,386
9/1/15 2:26,9/1/15 2:34,320,316
9/1/15 2:27,9/1/15 2:32,517,518
9/1/15 2:27,9/1/15 2:31,336,254
9/1/15 2:27,9/1/15 2:34,455,528
9/1/15 2:29,9/1/15 2:38,531,432
9/1/15 2:29,9/1/15 2:44,173,293
9/1/15 2:30,9/1/15 2:42,3055,3042
9/1/15 2:30,9/1/15 2:37,306,331
9/1/15 2:32,9/1/15 2:40,504,348
9/1/15 2:32,9/1/15 2:37,455,528
9/1/15 2:32,9/1/15 2:42,519,492
9/1/15 2:33,9/1/15 2:46,173,382
9/1/15 2:33,9/1/15 3:00,2000,245
9/1/15 2:33,9/1/15 2:39,426,224
9/1/15 2:33,9/1/15 2:39,426,224
9/1/15 2:35,9/1/15 2:42,229,546
9/1/15 2:35,9/1/15 2:37,531,401
9/1/15 2:36,9/1/15 3:00,268,3087
9/1/15 2:37,9/1/15 2:46,442,520
9/1/15 2:38,9/1/15 5:25,312,285
9/1/15 2:39,9/1/15 2:44,284,435
9/1/15 2:39,9/1/15 3:01,410,296
9/1/15 2:40,9/1/15 2:50,146,376
9/1/15 2:40,9/1/15 2:50,146,376
9/1/15 2:40,9/1/15 2:45,528,461
9/1/15 2:41,9/1/15 2:50,3107,3095
9/1/15 2:42,9/1/15 2:44,3088,3090
9/1/15 2:43,9/1/15 2:56,434,478
9/1/15 2:46,9/1/15 2:49,3079,3076
9/1/15 2:47,9/1/15 3:08,469,312
9/1/15 2:47,9/1/15 2:53,382,151
9/1/15 2:48,9/1/15 2:54,433,293
9/1/15 2:48,9/1/15 2:54,433,293
9/1/15 2:48,9/1/15 2:55,261,143
9/1/15 2:49,9/1/15 2:58,327,368
9/1/15 2:50,9/1/15 3:14,439,382
9/1/15 2:51,9/1/15 2:55,435,284
9/1/15 2:53,9/1/15 2:58,519,518
9/1/15 2:54,9/1/15 2:57,433,511
9/1/15 2:57,9/1/15 3:02,439,368
9/1/15 2:57,9/1/15 3:03,438,511
9/1/15 2:58,9/1/15 3:14,328,479
9/1/15 2:58,9/1/15 3:03,497,116
9/1/15 2:58,9/1/15 3:07,223,474
9/1/15 3:00,9/1/15 3:12,479,498
9/1/15 3:00,9/1/15 3:11,479,498
9/1/15 3:02,9/1/15 3:06,473,375
9/1/15 3:02,9/1/15 3:27,470,285
9/1/15 3:08,9/1/15 3:10,236,432
9/1/15 3:11,9/1/15 3:22,251,534
9/1/15 3:11,9/1/15 3:19,161,438
9/1/15 3:12,9/1/15 3:20,161,236
9/1/15 3:13,9/1/15 3:33,295,280
9/1/15 3:15,9/1/15 3:23,3066,364
9/1/15 3:15,9/1/15 3:18,503,537
9/1/15 3:16,9/1/15 3:19,468,513
9/1/15 3:18,9/1/15 3:24,499,359
9/1/15 3:19,9/1/15 3:40,312,3066
9/1/15 3:20,9/1/15 3:34,408,408
9/1/15 3:21,9/1/15 3:29,479,513
9/1/15 3:21,9/1/15 3:35,281,281
9/1/15 3:23,9/1/15 3:37,432,128
9/1/15 3:25,9/1/15 3:47,3223,402
9/1/15 3:26,9/1/15 3:33,497,394
9/1/15 3:28,9/1/15 3:42,434,479
9/1/15 3:29,9/1/15 3:52,382,82
9/1/15 3:31,9/1/15 3:45,295,314
9/1/15 3:33,9/1/15 3:40,380,439
9/1/15 3:34,9/1/15 4:29,489,529
9/1/15 3:34,9/1/15 4:28,489,529
9/1/15 3:35,9/1/15 3:42,128,369
9/1/15 3:35,9/1/15 3:57,411,309
9/1/15 3:40,9/1/15 10:26,281,529
9/1/15 3:44,9/1/15 5:07,477,3066
9/1/15 3:45,9/1/15 5:08,477,3066
9/1/15 3:50,9/1/15 4:04,3119,3113
9/1/15 3:53,9/1/15 4:11,369,514
9/1/15 3:59,9/1/15 4:06,477,513
9/1/15 4:01,9/1/15 4:20,2009,463
9/1/15 4:01,9/1/15 4:03,379,521
9/1/15 4:02,9/1/15 4:07,229,336
9/1/15 4:05,9/1/15 4:15,212,212
9/1/15 4:06,9/1/15 4:12,437,384
9/1/15 4:07,9/1/15 4:12,497,466
9/1/15 4:07,9/1/15 4:31,317,411
9/1/15 4:09,9/1/15 4:15,212,212
9/1/15 4:10,9/1/15 4:40,293,331
9/1/15 4:11,9/1/15 4:21,323,321
9/1/15 4:12,9/1/15 4:17,498,153
9/1/15 4:12,9/1/15 4:18,312,348
9/1/15 4:12,9/1/15 4:17,353,431
9/1/15 4:13,9/1/15 4:29,331,347
9/1/15 4:17,9/1/15 4:26,480,465
9/1/15 4:19,9/1/15 4:24,251,349
9/1/15 4:19,9/1/15 4:31,334,504
9/1/15 4:22,9/1/15 4:26,285,326
9/1/15 4:23,9/1/15 4:39,438,355
9/1/15 4:25,9/1/15 4:57,521,279
9/1/15 4:26,9/1/15 4:38,438,355
9/1/15 4:26,9/1/15 4:42,447,223
9/1/15 4:27,9/1/15 4:31,417,82
9/1/15 4:32,9/1/15 4:40,499,495
9/1/15 4:33,9/1/15 4:39,478,490
9/1/15 4:33,9/1/15 4:43,515,533
9/1/15 4:35,9/1/15 4:43,174,522
9/1/15 4:40,9/1/15 4:52,455,497
9/1/15 4:41,9/1/15 4:51,488,435
9/1/15 4:42,9/1/15 4:45,293,252
9/1/15 4:42,9/1/15 4:51,546,458
9/1/15 4:42,9/1/15 4:59,530,497
9/1/15 4:43,9/1/15 4:57,470,309
9/1/15 4:46,9/1/15 5:00,521,2012
9/1/15 4:48,9/1/15 5:20,475,161
9/1/15 4:48,9/1/15 4:52,284,382
9/1/15 4:48,9/1/15 5:00,281,352
9/1/15 4:49,9/1/15 4:50,264,376
9/1/15 4:49,9/1/15 4:51,476,546
9/1/15 4:50,9/1/15 4:57,536,440
9/1/15 4:51,9/1/15 4:56,546,435
9/1/15 4:55,9/1/15 5:01,312,295
9/1/15 4:55,9/1/15 5:18,455,459
9/1/15 4:56,9/1/15 17:37,450,385
9/1/15 4:57,9/1/15 5:10,476,173
9/1/15 4:58,9/1/15 5:12,229,493
9/1/15 4:59,9/1/15 5:02,483,382
9/1/15 5:02,9/1/15 5:09,423,72
9/1/15 5:02,9/1/15 5:26,307,3109
9/1/15 5:03,9/1/15 5:07,431,353
9/1/15 5:03,9/1/15 5:25,366,497
